Date,Time,Category,Description,Amount_MYR,Notes
2026-07-25,13:30,Food & Dining,Sarawak Laksa (Mutiara Damansara),13.50,Forgot psyllium husk pre-meal
2026-07-25,15:43,Transport,FuelSave 95 Petrol (Megah Indah BU),59.16,BUDI95 subsidy saved RM48.46 (29.73L)
2026-07-25,21:42,Food & Dining,Momotalo Yakiniku (Desa Sri Hartamas),151.96,Ox short ribs + marinated chicken + salmon fried rice
2026-07-26,13:57,Food & Dining,Kapitan Tandoori (TTDI) - Garlic Naan Set,20.50,Garlic Naan Set + Ice Water (CIMB)
2026-07-26,22:24,Food & Dining,Restoran Sri Nirwana Maju (Bangsar) - Banana Leaf + Chicken 65,30.20,Veg Meal + Chicken 65-S + 2x Teh Ais (VISA)
2026-07-27,12:48,Food & Dining,Subway (Center Point BU) - Chicken Teriyaki Value Meal,16.25,6in Teriyaki + Cookie + Drink (VISA)
2026-07-28,21:41,Food & Dining,Fini's Pizza (TTDI) - Lamb Pizza & Tenders,83.30,Moroccan Lamb 9-inch + Chicken Tenders + Water/Fizz
2026-07-28,12:00,Transport,Parking,16.50,Parking (July 28)
2026-07-29,12:00,Transport,Parking,14.00,Parking (July 29)
2026-07-29,13:00,Food & Dining,Tok Deng Kitchen (Mid Valley),12.00,Lunch (Rice + Ayam Kunyit + Veg)
2026-07-31,13:00,Food & Dining,Gai Kitchen (Centerpoint BU) - Thai Basil Chicken Rice,16.80,Pad Krapow Rice + Fried Egg + Lemongrass Tea
